name,product_id,price,brand,age,images,color,shoes sizes
Vans x Spongebob Junior Authentic Multicolour Sneaker,060601ACMY8," R 1,099.95",Vans,kid,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59006881.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59006881_01.jpg']]",Multicolour,"['3', '4', '5']"
adidas Originals Men's ZX 1K Boost Navy Sneaker,060601ACSH3," R 1,699.95",Adidas,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59109723.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59109723_01.jpg']]",Navy,"['6', '7', '8', '9', '10', '11']"
Vans x Spongebob Men's Authentic Multicolour Sneaker,060601ACSO3," R 1,099.95",Vans,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59112885.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59112885_01.jpg']]",Multicolour,"['6', '7', '8', '9', '10', '11']"
Vans x Spongebob Men's Classic Slip-On Multicolour Sneaker,060601ACSO4," R 1,199.99",Vans,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59112894.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59112894_01.jpg']]",Multicolour,"['6', '7', '8', '9', '10', '11']"
Vans x Spongebob Junior Old Skool Multicolour Sneaker,060601ACMY0," R 1,499.95",Vans,kid,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59006873.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59006873_01.jpg']]",Multicolour,"['3', '4', '5']"
Puma Men's Mirage Tech Black Sneaker,060601ACNP8," R 1,899.95",Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59037161.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59037161_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11']"
Nike Men's Reposto Stone Sneaker,060601ACAD8," R 1,399.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57626675.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57626675_01.jpg']]",Natural,"['6', '7', '8', '9', '10', '11']"
adidas Originals Men's ZX 2K Boost Pure Navy Sneaker,060601ACSG9," R 2,699.95",Adidas,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59109724.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59109724_01.jpg']]",Navy,"['6', '7', '8', '9', '10', '11']"
Vans x Spongebob Junior Classic Slip-On Multicolour Sneaker,060601ACMY2," R 1,199.95",Vans,kid,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59006875.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59006875_01.jpg']]",Multicolour,"['3', '4', '5']"
Nike Men's Court Legacy White Sneaker,060601ACAD0," R 1,199.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57626315.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57626315_01.jpg']]",White,"['6', '7', '8', '9', '10', '11']"
Reebok Men's NERF Pump Omni Zone II Black Sneaker,060601ACNG1," R 2,499.95",Reebok,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59015736.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59015736_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11']"
Puma Men's Mirage Tech White Sneaker,060601ACNP9," R 1,899.95",Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59037188.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59037188_01.jpg']]",White,"['6', '7', '8', '9', '10', '11']"
Vans x Spongebob Men's SK8-HI 38 DX Multicolour Sneaker,060601ACSO5," R 1,699.95",Vans,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59112896.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59112896_01.jpg']]",Multicolour,"['6', '7', '8', '9', '10', '11']"
Vans x Spongebob Junior SK8-HI 38 DX Multicolour Sneaker,060601ACMY4," R 1,699.95",Vans,kid,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59006877.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59006877_01.jpg']]",Multicolour,"['3', '4', '5']"
Reebok Men's NERF Kamikaze II Black Sneaker,060601ACNG0," R 2,499.95",Reebok,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59015709.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59015709_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11']"
Puma Men's City Rider Black Sneaker,060601ACNQ3," R 1,699.95",Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59037341.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59037341_01.jpg']]",Multicolour,"['6', '7', '8', '9', '10', '11']"
Puma Men's X-Ray 2 Square Black/Yellow Sneaker,060601ACNQ1," R 1,399.95",Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59037287.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59037287_01.jpg']]",Black/Yellow,"['6', '7', '8', '9', '10', '11']"
Vans x Spongebob Men's Old Skool Multicolour Sneaker,060601ACSO6," R 1,499.95",Vans,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59112895.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59112895_01.jpg']]",Multicolour,"['6', '7', '8', '9', '10', '11']"
adidas Originals Junior ZX 2K Boost Fatigue Sneaker,060601ACRO0," R 2,299.95",Adidas,kid,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59095894.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59095894_01.jpg']]",Fatigue,"['3', '4', '5', '6']"
adidas Original Junior ZX 2K Boost Navy Sneaker,060601ACRO8," R 2,299.95",Adidas,kid,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59095842.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59095842_01.jpg']]",Navy,"['3', '4', '5', '6']"
adidas Originals Junior ZX 2K Boost White/Pink Sneaker,060601ACRP3," R 2,299.95",Adidas,kid,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59095903.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59095903_01.jpg']]",White/Pink,"['3', '4', '5', '6']"
adidas Originals Junior ZX 2K Boost Multicolour Sneaker,060601ACRO9," R 2,299.95",Adidas,kid,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59095905.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59095905_01.jpg']]",Multicolour,"['3', '4', '5', '6']"
Puma Men's City Rider Black Sneaker,060601ACRW4," R 1,699.95",Puma,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59106488.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59106488_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11']"
