name,product_id,price,brand,age,images,color,shoes sizes
5740 - grey,689830,1799.00,New Balance ,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2233480/original.jpg', 'http://assets.superbalistcdn.co.za/2233480/original.jpg']",Grey (030),"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Ua old skool - (classic sport) blushing bride/parisian night,687798,899.00,Vans,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2233319/original.jpg', 'http://assets.superbalistcdn.co.za/2233319/original.jpg']",Blushing Bride & Parisian Night,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Mirage mox vision - apricot blush-gray violet,689592,1999.00,PUMA Select,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2231306/original.jpg', 'http://assets.superbalistcdn.co.za/2231306/original.jpg']",apricot blush-gray violet,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Ua old skool - orchid & true white,687796,849.00,Vans,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2241367/original.jpg', 'http://assets.superbalistcdn.co.za/2241367/original.jpg']",Orchid & True White,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Ua old skool - (galaxy) black/true white,687795,999.00,Vans,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2241361/original.jpg', 'http://assets.superbalistcdn.co.za/2241361/original.jpg']",Black & True White,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
2790 cotw  - white,690533,1099.00,SUPERGA,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2224667/original.jpg', 'http://assets.superbalistcdn.co.za/2224667/original.jpg']",White,"['UK 2.5', 'UK 3.5', 'UK 4', 'UK 5', 'UK 5.5', 'UK 6', 'UK 6.5', 'UK 7', 'UK 8']"
2790 cotw - full black,690534,1099.00,SUPERGA,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2224661/original.jpg', 'http://assets.superbalistcdn.co.za/2224661/original.jpg']",Full Black,"['UK 2.5', 'UK 3.5', 'UK 4', 'UK 5', 'UK 5.5', 'UK 6', 'UK 6.5', 'UK 7', 'UK 8']"
2790 cotlettering - black,690536,1199.00,SUPERGA,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2224678/original.jpg', 'http://assets.superbalistcdn.co.za/2224678/original.jpg']",Black,"['UK 2.5', 'UK 3.5', 'UK 4', 'UK 5', 'UK 5.5', 'UK 6', 'UK 6.5', 'UK 7', 'UK 8']"
New Balance - 5740 - white/multi,689831,1799.00,New Balance ,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2223361/original.jpg', 'http://assets.superbalistcdn.co.za/2223361/original.jpg']",White/Multi,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
New balance - 5740 - multi,689832,1799.00,New Balance ,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2223400/original.jpg', 'http://assets.superbalistcdn.co.za/2223400/original.jpg']",Multi,"['UK 3', 'UK 4', 'UK 6', 'UK 7', 'UK 8']"
Rs-curve tones wn's - marshmallow-shifting sand-eggnog,689563,1899.00,PUMA,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2221088/original.jpg', 'http://assets.superbalistcdn.co.za/2221088/original.jpg']",marshmallow-shifting sand-eggnog,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
S-astico low cut w sneakers - aqua sky,672720,2199.00,Diesel ,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2066120/original.jpg', 'http://assets.superbalistcdn.co.za/2066120/original.jpg']",Aqua sky,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
S-astico low cut w sneakers - faded rose,672719,2199.00,Diesel ,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2066103/original.jpg', 'http://assets.superbalistcdn.co.za/2066103/original.jpg']",Faded rose,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
S-astico mc wedge sneakers - raspberry sorbet,672721,3899.00,Diesel ,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2066778/original.jpg', 'http://assets.superbalistcdn.co.za/2066778/original.jpg']",Raspberry sorbet,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
S-astico mc wedge sneakers - glacier grey,672722,3899.00,Diesel ,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2066809/original.jpg', 'http://assets.superbalistcdn.co.za/2066809/original.jpg']",Glacier grey,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Cruise rider ocean road wn's - puma white-nimbus cloud-elektro green,689558,1699.00,PUMA,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2216301/original.jpg', 'http://assets.superbalistcdn.co.za/2216301/original.jpg']","Puma White, Nimbus Cloud & Elektro Green ","['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
